Animal_ID,ANIMAL_SN,Lat,Longitude,Fix Status,X,Y,DATETIME
tn85844,tn85844_2020_W,48.5573692,53.9748875,4 or more SV KF,280500,5382526,2020.03.09 12:00:00
tn85844,tn85844_2020_W,48.5054008,54.1265392,4 or more SV KF,269075,5377197,2020.03.09 18:00:00
tn85844,tn85844_2020_W,48.5065225,54.1312406,4 or more SV KF,268733,5377336,2020.03.09 20:00:00
tn85844,tn85844_2020_W,48.5041722,54.13284,4 or more SV KF,268604,5377080,2020.03.10 00:00:00
tn85844,tn85844_2020_W,48.5066358,54.1275439,4 or more SV KF,269007,5377338,2020.03.10 04:00:00
tn85844,tn85844_2020_W,48.5059072,54.1282111,4 or more SV KF,268954,5377259,2020.03.10 06:00:00
tn85844,tn85844_2020_W,48.4862625,54.1380742,4 or more SV KF,268136,5375105,2020.03.10 12:00:00
tn85844,tn85844_2020_W,48.4825825,54.1408147,4 or more SV KF,267917,5374705,2020.03.10 14:00:00
tn85844,tn85844_2020_W,48.48217,54.1411286,4 or more SV KF,267892,5374660,2020.03.10 16:00:00
tn85844,tn85844_2020_W,48.4816369,54.1395378,4 or more SV KF,268007,5374596,2020.03.10 18:01:00
tn85844,tn85844_2020_W,48.4812642,54.1404206,4 or more SV KF,267940,5374557,2020.03.10 20:00:00
tn85844,tn85844_2020_W,48.4900717,54.1514353,4 or more SV KF,267166,5375569,2020.03.10 22:00:00
tn85844,tn85844_2020_W,48.4923767,54.1519386,4 or more SV KF,267140,5375827,2020.03.11 00:00:00
tn85844,tn85844_2020_W,48.4915275,54.1498086,4 or more SV KF,267293,5375726,2020.03.11 02:00:00
tn85844,tn85844_2020_W,48.4914503,54.1496247,4 or more SV KF,267306,5375717,2020.03.11 04:00:00
tn85844,tn85844_2020_W,48.4918256,54.1483822,4 or more SV KF,267400,5375755,2020.03.11 12:00:00
tn85844,tn85844_2020_W,48.4918172,54.1483,4 or more SV KF,267406,5375754,2020.03.11 14:00:00
tn85844,tn85844_2020_W,48.4918108,54.1483017,4 or more SV KF,267406,5375753,2020.03.11 16:00:00
tn85844,tn85844_2020_W,48.4917794,54.1483206,4 or more SV KF,267404,5375750,2020.03.11 18:00:00
tn85844,tn85844_2020_W,48.4972792,54.1546219,4 or more SV KF,266964,5376380,2020.03.11 22:00:00
tn85844,tn85844_2020_W,48.4947522,54.1549381,4 or more SV KF,266929,5376100,2020.03.12 00:00:00
tn85844,tn85844_2020_W,48.494015,54.1542978,4 or more SV KF,266973,5376016,2020.03.12 04:00:00
tn85844,tn85844_2020_W,48.4933411,54.1534239,4 or more SV KF,267034,5375939,2020.03.12 06:00:00
tn85844,tn85844_2020_W,48.4938878,54.1542117,4 or more SV KF,266979,5376002,2020.03.12 08:01:00
tn85844,tn85844_2020_W,48.494125,54.1543061,4 or more SV KF,266973,5376029,2020.03.12 12:00:00
tn85844,tn85844_2020_W,48.4931447,54.1537633,4 or more SV KF,267008,5375918,2020.03.12 16:00:00
tn85844,tn85844_2020_W,48.4909281,54.1498742,4 or more SV KF,267286,5375660,2020.03.12 20:00:00
tn85844,tn85844_2020_W,48.4923694,54.1518161,4 or more SV KF,267149,5375826,2020.03.12 22:00:00
tn85844,tn85844_2020_W,48.4943017,54.1536214,4 or more SV KF,267024,5376046,2020.03.13 04:00:00
tn85844,tn85844_2020_W,48.4930736,54.153655,4 or more SV KF,267016,5375910,2020.03.13 06:00:00
tn85844,tn85844_2020_W,48.4936253,54.15377,4 or more SV KF,267010,5375971,2020.03.13 08:00:00
tn85844,tn85844_2020_W,48.4911328,54.1553936,4 or more SV KF,266879,5375699,2020.03.13 12:00:00
tn85844,tn85844_2020_W,48.4897767,54.1554847,4 or more SV KF,266866,5375549,2020.03.13 16:00:00
tn85844,tn85844_2020_W,48.4893442,54.1558519,4 or more SV KF,266837,5375502,2020.03.13 18:01:00
tn85844,tn85844_2020_W,48.490325,54.152,4 or more SV KF,267126,5375599,2020.03.13 20:00:00
tn85844,tn85844_2020_W,48.4977675,54.1540497,4 or more SV KF,267008,5376433,2020.03.13 22:00:00
tn85844,tn85844_2020_W,48.4876822,54.1420025,4 or more SV KF,267852,5375275,2020.03.14 04:00:00
tn85844,tn85844_2020_W,48.4868114,54.1417939,4 or more SV KF,267864,5375178,2020.03.14 08:00:00
tn85844,tn85844_2020_W,48.4857597,54.1393719,4 or more SV KF,268038,5375053,2020.03.14 10:01:00
tn85844,tn85844_2020_W,48.4848403,54.1359333,4 or more SV KF,268288,5374941,2020.03.14 12:00:00
tn85844,tn85844_2020_W,48.4848411,54.1358967,4 or more SV KF,268290,5374941,2020.03.14 14:00:00
tn85844,tn85844_2020_W,48.4841528,54.1399033,4 or more SV KF,267991,5374876,2020.03.14 16:01:00
tn85844,tn85844_2020_W,48.4861872,54.1433453,4 or more SV KF,267746,5375113,2020.03.14 18:00:00
tn85844,tn85844_2020_W,48.4862181,54.1433842,4 or more SV KF,267743,5375117,2020.03.14 20:00:00
tn85844,tn85844_2020_W,48.4870308,54.1438744,4 or more SV KF,267711,5375208,2020.03.15 00:00:00
tn85844,tn85844_2020_W,48.4871989,54.1439017,4 or more SV KF,267710,5375227,2020.03.15 02:00:00
tn85844,tn85844_2020_W,48.4871869,54.1438689,4 or more SV KF,267712,5375226,2020.03.15 04:00:00
tn85844,tn85844_2020_W,48.4865558,54.1428931,4 or more SV KF,267781,5375153,2020.03.15 10:00:00
tn85844,tn85844_2020_W,48.4910942,54.1472942,4 or more SV KF,267477,5375670,2020.03.15 12:00:00
tn85844,tn85844_2020_W,48.4908594,54.1486347,4 or more SV KF,267377,5375648,2020.03.15 14:00:00
tn85844,tn85844_2020_W,48.4908797,54.1486547,4 or more SV KF,267375,5375651,2020.03.15 16:00:00
tn85844,tn85844_2020_W,48.4913047,54.1475642,4 or more SV KF,267458,5375695,2020.03.15 20:00:00
tn85844,tn85844_2020_W,48.4912258,54.1472922,4 or more SV KF,267478,5375685,2020.03.15 22:00:00
tn85844,tn85844_2020_W,48.4951683,54.1486136,4 or more SV KF,267398,5376127,2020.03.16 00:00:00
tn85844,tn85844_2020_W,48.4952181,54.1492806,4 or more SV KF,267349,5376135,2020.03.16 02:00:00
tn85844,tn85844_2020_W,48.4952253,54.1492733,4 or more SV KF,267350,5376135,2020.03.16 04:00:00
tn85844,tn85844_2020_W,48.4953358,54.1492142,4 or more SV KF,267354,5376148,2020.03.16 06:00:00
tn85844,tn85844_2020_W,48.4952817,54.1496347,4 or more SV KF,267323,5376143,2020.03.16 08:00:00
tn85844,tn85844_2020_W,48.5123453,54.1401006,4 or more SV KF,268105,5378010,2020.03.16 14:00:00
tn85844,tn85844_2020_W,48.4962636,54.1517361,4 or more SV KF,267172,5376258,2020.03.16 20:00:00
tn85844,tn85844_2020_W,48.5027567,54.1450017,4 or more SV KF,267700,5376959,2020.03.16 22:00:00
tn85844,tn85844_2020_W,48.5017436,54.1421767,4 or more SV KF,267904,5376838,2020.03.17 02:00:00
tn85844,tn85844_2020_W,48.5015981,54.1425328,4 or more SV KF,267877,5376823,2020.03.17 04:01:00
tn85844,tn85844_2020_W,48.5013344,54.1439319,4 or more SV KF,267772,5376798,2020.03.17 06:00:00
tn85844,tn85844_2020_W,48.4954117,54.1471303,4 or more SV KF,267509,5376150,2020.03.17 08:00:00
tn85844,tn85844_2020_W,48.5001203,54.1484536,4 or more SV KF,267433,5376677,2020.03.17 16:00:00
tn85844,tn85844_2020_W,48.4982556,54.1523511,4 or more SV KF,267136,5376482,2020.03.17 18:00:00
tn85844,tn85844_2020_W,48.4924842,54.1681422,4 or more SV KF,265943,5375888,2020.03.17 20:00:00
tn85844,tn85844_2020_W,48.4809039,54.1593358,4 or more SV KF,266541,5374575,2020.03.17 22:00:00
tn85844,tn85844_2020_W,48.4810672,54.1524289,4 or more SV KF,267052,5374572,2020.03.18 02:00:00
tn85844,tn85844_2020_W,48.4897117,54.1530433,4 or more SV KF,267046,5375534,2020.03.18 12:00:00
tn85844,tn85844_2020_W,48.4900931,54.1509967,4 or more SV KF,267199,5375570,2020.03.18 14:00:00
tn85844,tn85844_2020_W,48.4901208,54.1510075,4 or more SV KF,267198,5375573,2020.03.18 18:00:00
tn85844,tn85844_2020_W,48.4924044,54.1681978,4 or more SV KF,265939,5375880,2020.03.19 02:00:00
tn85844,tn85844_2020_W,48.4928831,54.1682564,4 or more SV KF,265937,5375933,2020.03.19 06:00:00
tn85844,tn85844_2020_W,48.4913383,54.1627644,4 or more SV KF,266335,5375745,2020.03.19 08:00:00
tn85844,tn85844_2020_W,48.4926572,54.1545258,4 or more SV KF,266950,5375866,2020.03.19 12:00:00
tn85844,tn85844_2020_W,48.4956283,54.1524022,4 or more SV KF,267120,5376190,2020.03.19 18:00:00
tn85844,tn85844_2020_W,48.4983064,54.1441519,4 or more SV KF,267742,5376462,2020.03.19 20:00:00
tn85844,tn85844_2020_W,48.4976161,54.1338925,4 or more SV KF,268497,5376354,2020.03.20 00:00:00
tn85844,tn85844_2020_W,48.4927228,54.1339197,4 or more SV KF,268472,5375811,2020.03.20 06:00:00
tn85844,tn85844_2020_W,48.4926958,54.1365464,4 or more SV KF,268278,5375816,2020.03.20 08:00:00
tn85844,tn85844_2020_W,48.4927236,54.1365903,4 or more SV KF,268275,5375819,2020.03.20 10:00:00
tn85844,tn85844_2020_W,48.4895025,54.1236686,4 or more SV KF,269215,5375422,2020.03.20 12:00:00
tn85844,tn85844_2020_W,48.4916172,54.1051072,4 or more SV KF,270596,5375601,2020.03.20 14:00:00
tn85844,tn85844_2020_W,48.4910903,54.1027472,4 or more SV KF,270768,5375535,2020.03.20 16:00:00
tn85844,tn85844_2020_W,48.4885156,54.1191572,4 or more SV KF,269544,5375299,2020.03.21 02:01:00
tn85844,tn85844_2020_W,48.48859,54.114045,4 or more SV KF,269922,5375291,2020.03.21 06:00:00
tn85844,tn85844_2020_W,48.4870756,54.1146147,4 or more SV KF,269873,5375125,2020.03.21 08:00:00
tn85844,tn85844_2020_W,48.4869856,54.1145197,4 or more SV KF,269879,5375115,2020.03.21 10:00:00
tn85844,tn85844_2020_W,48.4880969,54.106385,4 or more SV KF,270485,5375214,2020.03.21 12:00:00
tn85844,tn85844_2020_W,48.4876525,54.0945347,4 or more SV KF,271359,5375129,2020.03.21 14:00:00
tn85844,tn85844_2020_W,48.4876853,54.0946053,4 or more SV KF,271354,5375133,2020.03.21 16:00:00
tn85844,tn85844_2020_W,48.4879108,54.0948486,4 or more SV KF,271337,5375158,2020.03.21 20:00:00
tn85844,tn85844_2020_W,48.4874161,54.10172,4 or more SV KF,270827,5375124,2020.03.22 04:00:00
tn85844,tn85844_2020_W,48.4875536,54.1041381,4 or more SV KF,270649,5375146,2020.03.22 06:00:00
tn85844,tn85844_2020_W,48.4880597,54.1142433,4 or more SV KF,269905,5375233,2020.03.22 12:00:00
tn85844,tn85844_2020_W,48.4923572,54.1171842,4 or more SV KF,269707,5375720,2020.03.22 14:00:00
tn85844,tn85844_2020_W,48.4948717,54.1310558,4 or more SV KF,268694,5376041,2020.03.22 18:00:00
tn85844,tn85844_2020_W,48.49491,54.1312678,4 or more SV KF,268678,5376046,2020.03.22 20:00:00
tn85844,tn85844_2020_W,48.4948586,54.1306639,4 or more SV KF,268723,5376038,2020.03.22 22:00:00
tn85844,tn85844_2020_W,48.4989406,54.1309222,4 or more SV KF,268722,5376493,2020.03.23 00:00:00
tn85844,tn85844_2020_W,48.5019569,54.1280481,4 or more SV KF,268948,5376819,2020.03.23 04:00:00
tn85844,tn85844_2020_W,48.5048256,54.1280972,4 or more SV KF,268957,5377138,2020.03.23 10:00:00
tn85844,tn85844_2020_W,48.5060983,54.1320044,4 or more SV KF,268675,5377291,2020.03.23 14:00:00
tn85844,tn85844_2020_W,48.5070542,54.1268108,4 or more SV KF,269063,5377382,2020.03.23 16:01:00
tn85844,tn85844_2020_W,48.5064089,54.129715,4 or more SV KF,268845,5377319,2020.03.23 18:00:00
tn85844,tn85844_2020_W,48.5075511,54.1253319,4 or more SV KF,269174,5377433,2020.03.23 20:00:00
tn85844,tn85844_2020_W,48.5066575,54.1262017,4 or more SV KF,269106,5377336,2020.03.23 22:00:00
tn85844,tn85844_2020_W,48.4965989,54.1337433,4 or more SV KF,268503,5376241,2020.03.24 02:00:00
tn85844,tn85844_2020_W,48.4950153,54.1332128,4 or more SV KF,268535,5376063,2020.03.24 04:00:00
tn85844,tn85844_2020_W,48.4950122,54.1332506,4 or more SV KF,268532,5376063,2020.03.24 06:00:00
tn85844,tn85844_2020_W,48.4948531,54.1368172,4 or more SV KF,268268,5376056,2020.03.24 10:00:00
tn85844,tn85844_2020_W,48.4957583,54.1385467,4 or more SV KF,268144,5376162,2020.03.24 12:00:00
tn85844,tn85844_2020_W,48.5051192,54.1238253,4 or more SV KF,269274,5377158,2020.03.24 14:00:00
tn85844,tn85844_2020_W,48.4939983,54.1376586,4 or more SV KF,268202,5375964,2020.03.24 16:00:00
tn85844,tn85844_2020_W,48.4939736,54.1431833,4 or more SV KF,267794,5375978,2020.03.24 22:00:00
tn85844,tn85844_2020_W,48.5050858,54.1190056,4 or more SV KF,269630,5377140,2020.03.25 00:00:00
tn85844,tn85844_2020_W,48.5054794,54.1153844,4 or more SV KF,269899,5377172,2020.03.25 06:00:00
tn85844,tn85844_2020_W,48.50958,54.1157792,4 or more SV KF,269889,5377629,2020.03.25 08:00:00
tn85844,tn85844_2020_W,48.5091022,54.1171886,4 or more SV KF,269782,5377581,2020.03.25 10:00:00
tn85844,tn85844_2020_W,48.5072075,54.1200375,4 or more SV KF,269563,5377379,2020.03.25 12:00:00
tn85844,tn85844_2020_W,48.5070653,54.1203558,4 or more SV KF,269539,5377364,2020.03.25 14:00:00
tn85844,tn85844_2020_W,48.5073022,54.1203433,4 or more SV KF,269541,5377390,2020.03.25 16:00:00
tn85844,tn85844_2020_W,48.5072331,54.1220286,4 or more SV KF,269417,5377387,2020.03.26 00:00:00
tn85844,tn85844_2020_W,48.5072633,54.1220794,4 or more SV KF,269413,5377391,2020.03.26 06:00:00
tn85844,tn85844_2020_W,48.5094086,54.1153069,4 or more SV KF,269923,5377609,2020.03.26 10:00:00
tn85844,tn85844_2020_W,48.5065044,54.1195561,4 or more SV KF,269596,5377299,2020.03.26 12:01:00
tn85844,tn85844_2020_W,48.5064597,54.1194542,4 or more SV KF,269603,5377294,2020.03.26 14:00:00
tn85844,tn85844_2020_W,48.5061347,54.1183489,4 or more SV KF,269683,5377254,2020.03.26 18:00:00
tn85844,tn85844_2020_W,48.5056058,54.1155628,4 or more SV KF,269887,5377187,2020.03.26 22:00:00
tn85844,tn85844_2020_W,48.5074733,54.1209997,4 or more SV KF,269494,5377411,2020.03.27 00:00:00
tn85844,tn85844_2020_W,48.5069089,54.1207703,4 or more SV KF,269508,5377348,2020.03.27 02:00:00
tn85844,tn85844_2020_W,48.5060361,54.1158825,4 or more SV KF,269865,5377236,2020.03.27 04:00:00
tn85844,tn85844_2020_W,48.5048783,54.1149011,4 or more SV KF,269932,5377104,2020.03.27 06:00:00
tn85844,tn85844_2020_W,48.5074419,54.1212125,4 or more SV KF,269478,5377408,2020.03.27 10:00:00
tn85844,tn85844_2020_W,48.5071253,54.1245039,4 or more SV KF,269233,5377383,2020.03.27 12:01:00
tn85844,tn85844_2020_W,48.5049561,54.1234914,4 or more SV KF,269298,5377139,2020.03.27 14:00:00
tn85844,tn85844_2020_W,48.5017464,54.1231983,4 or more SV KF,269305,5376781,2020.03.27 20:00:00
tn85844,tn85844_2020_W,48.5018344,54.1241844,4 or more SV KF,269233,5376794,2020.03.27 22:00:00
tn85844,tn85844_2020_W,48.5062331,54.1275472,4 or more SV KF,269004,5377293,2020.03.28 00:00:00
tn85844,tn85844_2020_W,48.4959264,54.1367928,4 or more SV KF,268275,5376175,2020.03.28 04:00:00
tn85844,tn85844_2020_W,48.4958164,54.1367844,4 or more SV KF,268275,5376163,2020.03.28 06:00:00
tn85844,tn85844_2020_W,48.4958397,54.1367339,4 or more SV KF,268279,5376166,2020.03.28 08:00:00
tn85844,tn85844_2020_W,48.4989078,54.1353786,4 or more SV KF,268393,5376503,2020.03.28 10:00:00
tn85844,tn85844_2020_W,48.4934783,54.1278644,4 or more SV KF,268923,5375876,2020.03.28 12:00:00
tn85844,tn85844_2020_W,48.5045703,54.1277781,4 or more SV KF,268980,5377109,2020.03.28 14:00:00
tn85844,tn85844_2020_W,48.5065547,54.1278103,4 or more SV KF,268987,5377329,2020.03.28 16:00:00
tn85844,tn85844_2020_W,48.5066439,54.1278333,4 or more SV KF,268985,5377339,2020.03.28 20:00:00
tn85844,tn85844_2020_W,48.5065536,54.1283217,4 or more SV KF,268949,5377331,2020.03.28 22:00:00
tn85844,tn85844_2020_W,48.5065892,54.12843,4 or more SV KF,268941,5377335,2020.03.29 02:00:00
tn85844,tn85844_2020_W,48.5066,54.1284142,4 or more SV KF,268942,5377336,2020.03.29 04:00:00
tn85844,tn85844_2020_W,48.5074894,54.1216542,4 or more SV KF,269445,5377415,2020.03.29 12:00:00
tn85844,tn85844_2020_W,48.5071989,54.1220525,4 or more SV KF,269415,5377384,2020.03.29 14:00:00
tn85844,tn85844_2020_W,48.5054458,54.1145225,4 or more SV KF,269963,5377166,2020.03.29 18:01:00
tn85844,tn85844_2020_W,48.5054564,54.1147567,4 or more SV KF,269946,5377168,2020.03.29 20:00:00
